ID,component_1,component_2
0,45.5128,-12.621529
1,-17.758821,10.1597185
2,23.850311,12.1178665
3,10.230264,22.73279
4,-9.227371,-13.851069
5,-8.296824,-16.753962
6,-33.55201,1.4933631
7,-16.268541,-13.310777
8,-30.24406,-25.601171
9,-20.66297,-11.96987
10,22.241287,34.524673
11,24.004799,41.985107
12,-11.493251,9.149686
13,-33.638542,1.4277054
14,21.839361,-13.470212
15,23.22448,45.136787
16,19.566235,38.888725
17,8.221714,-4.45425
18,-21.929914,17.687483
19,-19.753359,-23.570206
20,-19.99516,-23.192215
21,21.229935,41.115284
22,17.380686,37.703514
23,-19.427673,-4.0576606
24,-9.083863,-18.102322
25,17.599499,-7.9197664
26,-11.5992,2.0973008
27,12.8224125,4.4975843
28,-28.190563,-27.03207
29,-4.4901237,-21.80037
30,-22.384863,11.641137
31,19.277843,-30.48108
32,-13.057967,27.555489
33,6.560082,-6.9533834
34,25.328035,-10.905536
35,45.868385,-9.681508
36,-9.588002,1.8521872
37,-28.647654,10.246204
38,-9.106579,-2.70836
39,-23.16806,-16.161747
40,-35.271404,-13.317191
41,-15.908699,-1.2032375
42,-6.954586,-24.509745
43,-30.518364,-22.649376
44,-16.639261,-27.565653
45,-13.413331,8.557298
46,21.128668,41.947147
47,-31.097202,-3.0581958
48,-15.644478,-3.906426
49,8.031775,22.147318
50,-18.332972,11.580366
51,-13.856672,-21.373192
52,23.652243,10.865316
53,-16.207195,-27.140636
54,-36.912773,-13.045922
55,-29.15984,7.9417033
56,5.6985016,18.82715
57,39.35809,-4.7352853
58,-18.259928,-25.013065
59,-23.421349,-0.408942
60,-33.385326,2.6415257
61,20.054062,34.25446
62,-4.867661,-13.423707
63,28.251661,36.26506
64,33.11892,-4.1143007
65,-0.39114472,-20.001848
66,-30.342806,4.388309
67,9.992672,23.56951
68,33.954258,-0.93887067
69,8.898396,27.953497
70,-26.36159,13.97161
71,-16.389757,0.72746193
72,-12.802281,-1.281757
73,-27.809181,-25.326784
74,9.405402,8.941805
75,22.505344,37.513653
76,14.470337,-1.6062286
77,-7.7698464,-12.098586
78,0.6639325,-27.351665
79,25.208765,2.820353
80,-10.61799,-14.693708
81,-23.377228,-13.2446785
82,15.9598465,3.8457034
83,-34.914032,-19.047663
84,-0.67779374,-24.588486
85,27.13618,7.593973
86,-12.561815,7.195719
87,-12.893117,30.124168
88,-14.548164,27.857351
89,15.37495,0.9316558
90,-11.158822,-22.694283
91,20.069773,35.262573
92,18.954163,40.31632
93,-29.416813,11.3904085
94,-14.889745,-2.7902114
95,4.8364854,-5.4865437
96,-31.440891,-5.289747
97,-21.990913,-8.769673
98,-10.217982,28.793886
99,21.99949,-9.844559
100,11.152075,-9.950046
101,-0.40497014,-21.160902
102,-3.4231973,-27.596392
103,-18.337946,-6.646259
104,21.56492,-12.647072
105,-3.2871697,-25.372105
106,-14.127442,-3.0873065
107,6.6549644,9.817452
108,43.596165,-10.401882
109,-9.551859,1.9479964
110,28.101828,7.802141
111,-9.066254,26.786287
112,10.814911,13.291291
113,46.81315,-10.132013
114,15.149525,-3.4473863
115,-18.072771,-21.36243
116,-21.915424,11.877019
117,-16.073305,1.4790436
118,30.904951,4.6343136
120,10.323433,23.590502
121,24.013056,-10.79007
122,-22.700102,1.8301752
123,-30.577255,-0.9503157
124,5.4202213,18.569956
125,-14.643127,27.574862
126,24.32433,-13.548444
127,-23.148588,17.640797
128,29.697525,10.046016
129,22.84241,10.409257
130,13.083252,16.14695
131,27.723175,-14.458938
132,3.1457987,-4.9631023
133,-20.97453,-6.384007
134,9.6730585,-8.384625
135,-20.09079,10.762202
136,10.303364,1.0871685
137,34.17956,6.4418797
138,19.62238,-30.367683
139,31.872965,7.3885264
140,-30.254444,-5.3554177
141,28.773903,10.340946
142,-32.72225,11.124873
143,17.902136,37.71006
144,-3.6760182,-26.8468
145,13.70697,5.498947
146,-17.110855,-3.118602
147,38.2149,1.1653248
148,-22.940626,-14.578916
149,8.449319,13.304492
150,10.507992,10.2529745
151,-28.182194,11.384744
152,-2.2860692,-27.238026
153,-11.141964,-20.255196
154,11.095988,7.0897827
155,-3.664113,-16.013449
156,14.253824,23.64907
157,28.599194,37.00053
158,-30.609573,-4.6129627
159,-31.79149,-8.59129
160,-35.99371,5.363286
161,-23.994732,17.948904
162,-22.610756,10.07007
163,-19.228523,-4.855857
164,-17.353477,-24.572952
165,37.056988,-1.9405617
166,-14.300181,-20.857506
167,-5.053351,-25.865236
168,-21.431961,-24.615654
169,7.34136,27.357822
170,-22.587214,2.6401768
171,-22.878313,2.1270275
172,44.39602,-2.8821802
173,44.139236,-4.105089
174,-11.991701,2.5433214
175,29.183104,7.59419
176,14.606443,2.0093997
177,-27.658987,-5.9326644
178,-4.783768,-20.576025
179,-23.562023,-0.59481174
180,-24.375515,-7.2929306
181,-11.287306,-22.100815
182,5.4257307,7.299336
184,11.171571,5.555986
185,12.12063,3.2778258
186,7.11618,26.756084
187,-29.864317,-6.4484324
188,-11.758951,9.274165
189,-14.812681,-4.196656
190,-14.354032,-4.3558784
191,39.979618,-9.110393
192,12.317259,-7.6561375
193,19.904892,-31.471687
194,25.418762,-13.756366
195,-12.934308,30.816761
196,15.264086,3.8806403
197,9.681999,3.4001937
198,-29.822008,-1.9502231
199,43.798462,-6.533705
200,22.380348,-4.291362
201,42.987362,-7.1811767
202,-35.202473,-14.787366
203,-31.539711,-13.682647
204,11.629577,4.4839897
205,7.459904,26.760536
207,-17.463276,10.740976
208,19.635649,2.016149
209,18.002789,-9.817747
210,-15.832788,-0.41981852
211,9.234053,20.557583
212,7.4619436,-4.330586
213,-37.78659,2.186612
214,9.354261,21.402765
215,-3.1341183,-18.951853
216,29.740767,3.9043584
217,11.623935,0.8784875
218,-33.722393,3.3239703
219,13.802952,-8.489892
220,7.871428,22.998753
221,8.050754,10.751093
222,-22.351301,3.2780256
223,20.282434,-5.195908
224,21.345701,-32.500534
225,4.1370153,9.153907
226,-31.01602,-12.536685
227,-21.832407,10.387081
228,2.3081572,-26.854725
229,-36.947685,-15.251067
230,11.84428,5.5526156
231,16.588364,-14.783839
232,-38.931194,2.0360901
233,27.90007,9.251705
234,-18.25693,9.701158
235,-10.273121,-24.03261
236,23.031284,43.731804
237,21.303858,39.219063
238,19.392801,-13.2026615
239,22.97082,-14.186506
240,2.1682537,-23.68613
241,20.19833,41.946327
242,34.425457,-2.6725497
243,-21.44849,17.659235
244,-34.28989,-13.0912075
245,7.6337395,28.290672
246,-11.464707,-23.88158
247,-25.092518,2.9161751
248,-12.576381,-0.7685864
249,-14.134656,-21.235056
250,39.60075,-4.5626173
251,-20.818083,15.617355
252,26.612106,40.554184
253,16.824423,-7.498754
254,19.330257,-10.257607
255,30.040369,6.071476
256,-2.1198285,-22.921892
257,-16.556389,12.835168
258,-13.215771,2.6825185
259,28.276634,35.625732
260,-23.887775,6.1542754
261,-14.508318,0.61711115
262,-22.570084,18.084965
263,44.639275,-5.6518726
264,13.101373,20.725353
265,34.755302,5.042381
266,-8.280332,28.108036
267,23.296873,-30.719992
268,-6.6684294,-17.075605
269,34.396988,-2.845604
270,21.075087,36.033783
271,-11.157747,28.643867
272,21.159412,-30.466993
273,-22.226847,-24.257
274,25.199497,13.420264
275,-13.369687,28.836113
276,25.763037,42.024857
277,-21.90782,3.7028263
278,-34.93053,-18.277157
279,-7.2508,-23.313894
280,-27.457527,-1.3213423
281,22.214096,10.018278
282,-30.167774,-0.06584022
283,42.891216,-6.0250854
284,10.528822,-12.206141
285,3.0415566,-7.3987784
286,21.916662,39.316456
287,24.372898,-11.496987
288,-34.150414,3.2807946
289,-25.201736,4.0349874
290,10.930335,3.5109608
291,-23.075157,17.540606
292,-23.534021,11.619338
293,-17.936415,-2.4262252
294,9.297193,9.560639
295,25.001787,41.542202
296,-18.715971,-1.6191877
297,3.427777,-23.22764
298,8.239076,22.842411
299,-28.346277,-23.206741
300,-15.726992,26.820778
301,24.615238,-13.731454
302,15.203189,-8.168799
303,19.654903,-16.054823
304,-1.7066945,-20.276491
305,22.999136,-30.771711
306,-7.7666726,-11.11028
307,7.123457,28.176174
308,25.07704,11.336103
309,14.662628,22.697
310,39.625957,-6.4359727
311,-13.0867195,10.417877
312,-31.894659,-5.504293
313,-23.672718,-14.261138
314,-4.043645,-22.437622
315,34.67161,1.9366148
316,10.148154,7.1290627
317,18.008959,-13.865116
318,8.828843,22.343647
319,-19.946316,-15.955092
320,-23.150452,13.727348
321,10.034944,15.649409
322,44.97121,-9.303642
323,-4.2655144,-18.664515
324,-26.988571,-20.006569
325,5.1509986,-6.768067
326,-33.83286,-0.15345563
327,-19.475828,11.04501
328,-25.43244,-23.77881
329,0.10794863,-27.729177
330,25.221283,0.036894746
331,-20.20624,-15.915235
332,-31.460945,-22.054655
333,-28.968777,-23.8866
334,28.519146,-15.804228
335,-33.20069,8.690994
336,-32.190495,7.8996716
337,4.5996966,-23.942276
338,4.5116343,8.937601
339,8.852395,21.771616
340,-35.134853,5.206815
341,-23.339096,-10.641265
342,42.784374,-8.034729
343,9.075406,-5.719422
344,39.34487,-3.1200442
345,39.50262,-3.8675792
346,17.066486,-8.996034
347,-6.172241,-14.386695
348,43.07807,-9.966266
349,-21.403963,-0.28678864
350,14.404174,21.084932
351,-29.683136,3.4039774
352,11.687513,22.654926
353,12.1685705,-2.8029912
354,27.477709,34.933666
355,43.640507,-10.532136
356,-22.844748,-20.221975
357,-8.941475,6.0061874
358,-3.4265995,-20.635414
359,-29.364544,11.004386
360,26.79397,-14.130061
361,-27.928215,-20.725426
362,-9.142338,-27.345049
363,-24.733404,12.285688
364,25.401329,9.998785
365,-32.455826,-16.154896
366,-3.6894562,-23.51163
368,-36.9992,6.7706375
369,-22.008026,12.523775
370,43.213043,-9.198055
371,-35.942745,8.964672
372,-16.462791,8.348404
373,-24.837297,3.0005162
374,14.512156,-6.7048616
375,-9.053248,7.090938
376,-17.251995,1.7320939
377,-29.536163,5.1505766
378,-29.95214,8.572227
379,-17.410463,-2.5542495
380,-9.550355,-17.47871
381,-22.968792,-21.947115
382,-33.786736,9.595991
383,-19.71544,-25.097363
