ID,"К-во филиалов, шт","Товарный ассортимент, шт","К-во групп покупаемых товаров, шт","К-во специализаций покупаемых товаров, шт","Кол-во типов покупаемых товаров, шт","Сумма покупок за все время, руб","Общее к-во покупок за все время, шт",К-во дней сотрудничества,К-во дней с последней покупки,Ранг популярности групп товаров,Ранг популярности спец товаров,Ранг популярности типов товаров,"Средняя стоимость товара, руб",Дней взаимодействия в месяц,DBScan,KMeans
0,2,5.932245187448011,4,9,44,16.37382623498661,10.99514236063674,1787,0,3.9745177080334,3.184422689317593,50.84048373164411,5.37868387434987,18.0,0,5
1,1,1.9459101490553132,1,1,5,11.697576805708705,6.016157159698354,135,1773,4.0,4.0,43.97916666666666,5.681419646010351,2.0,1,2
2,1,3.6109179126442243,3,4,5,11.84704966138706,4.890349128221754,107,1779,3.2153846153846155,2.892307692307692,55.63076923076923,6.956700533165307,2.0,5,0
3,1,1.791759469228055,2,3,3,10.162786739834779,1.791759469228055,69,1108,2.5,2.833333333333333,48.16666666666666,8.371027270606724,1.0,2,4
4,1,2.8903717578961645,1,1,3,11.553237793632903,5.3230099791384085,1038,647,4.0,4.0,54.09782608695652,6.230227814494494,1.0,1,6
5,1,1.3862943611198906,1,1,3,11.295402588029475,5.099866427824199,1192,570,4.0,4.0,47.333333333333336,6.195536160205276,1.0,1,6
6,1,0.0,1,1,1,10.740989590133179,4.276666119016055,195,1199,4.0,4.0,54.0,6.4643234711171225,1.0,1,2
7,1,1.791759469228055,1,1,3,12.11119829074033,8.827028068509152,488,382,4.0,2.0,53.81818181818182,3.284170222231177,2.0,1,3
8,1,0.0,1,1,1,12.138914429319245,6.656726524178391,525,177,4.0,4.0,61.0,5.482187905140853,1.0,1,3
9,1,1.6094379124341003,1,1,1,11.812875971475863,5.0106352940962555,1,337,4.0,2.0,27.0,6.802240677379607,1.0,0,3
10,1,3.091042453358316,1,1,1,10.968602345817853,4.9344739331306915,518,625,3.0,6.0,62.0,6.034128412687161,1.0,3,1
11,1,0.0,1,1,1,7.895063498091573,1.3862943611198906,1,1367,3.0,6.0,62.0,6.508769136971682,1.0,3,1
12,1,2.302585092994046,1,3,6,11.390584934694385,6.4457198193855785,42,1817,4.0,2.5454545454545454,53.54545454545455,4.944865115308806,1.0,1,2
13,1,0.0,1,1,1,11.373698799308924,4.804021044733257,63,1199,4.0,4.0,54.0,6.569677754575668,1.0,1,2
14,1,2.5649493574615367,2,2,6,14.61195792666422,9.57983281962553,1901,4,3.994594594594594,4.010810810810811,50.0,5.03212510703869,1.0,2,6
