ID,"К-во известных юрлиц, шт","К-во филиалов, шт","Товарный ассортимент, шт","К-во групп покупаемых товаров, шт","К-во специализаций покупаемых товаров, шт","Кол-во типов покупаемых товаров, шт","Сумма покупок за все время, руб","Общее к-во покупок за все время, шт",К-во дней сотрудничества,К-во дней с последней покупки,Ранг популярности групп товаров,Ранг популярности спец товаров,Ранг популярности типов товаров,"Средняя стоимость товара, руб",Дней взаимодействия в месяц
0,151,2,377,4,9,44,12914047.56,59584.0,1787,0,3.9745177080334004,3.184422689317593,50.84048373164411,216.7368347207304,18.133333333333333
1,1,1,7,1,1,5,120279.9,410.0,135,1773,4.0,4.0,43.979166666666664,293.36560975609757,2.2
2,1,1,37,3,4,5,139671.66,133.0,107,1779,3.2153846153846155,2.8923076923076922,55.63076923076923,1050.162857142857,2.4
3,1,1,6,2,3,3,25920.43,6.0,69,1108,2.5,2.8333333333333335,48.166666666666664,4320.071666666667,1.0
4,1,1,18,1,1,3,104113.59,205.0,1038,647,4.0,4.0,54.09782608695652,507.8711707317073,1.0
5,1,1,4,1,1,3,80450.92,164.0,1192,570,4.0,4.0,47.333333333333336,490.55439024390245,1.0
6,1,1,1,1,1,1,46211.76,72.0,195,1199,4.0,4.0,54.0,641.83,1.0
7,1,1,6,1,1,3,181897.44,6816.0,488,382,4.0,2.0,53.81818181818182,26.686830985915492,1.6363636363636365
8,1,1,1,1,1,1,187009.45,778.0,525,177,4.0,4.0,61.0,240.3720437017995,1.2
9,1,1,5,1,1,1,134979.2,150.0,1,337,4.0,2.0,27.0,899.8613333333334,1.0
10,1,1,22,1,1,1,58023.44,139.0,518,625,3.0,6.0,62.0,417.4348201438849,1.0
11,1,1,1,1,1,1,2684.0,4.0,1,1367,3.0,6.0,62.0,671.0,1.0
12,1,1,10,1,3,6,88484.7,630.0,42,1817,4.0,2.5454545454545454,53.54545454545455,140.45190476190476,1.0
13,1,1,1,1,1,1,87003.08,122.0,63,1199,4.0,4.0,54.0,713.14,1.3333333333333333
14,1,1,13,2,2,6,2217648.43,14470.0,1901,4,3.9945945945945946,4.010810810810811,50.0,153.2583572909468,1.2694444444444444
15,1,1,1,1,1,1,3176.3,1.0,1,1900,3.0,6.0,62.0,3176.3,1.0
16,1,1,15,1,1,1,39040.33,54.0,204,1522,3.0,6.0,62.0,722.9690740740741,1.3333333333333333
17,1,1,9,2,2,2,11927.84,26.0,369,588,3.9411764705882355,4.117647058823529,54.470588235294116,458.76307692307694,1.0
18,1,1,1,1,1,1,40320.0,84.0,8,1593,4.0,4.0,36.5,480.0,2.0
19,1,1,10,1,1,3,345014.9,802.0,157,49,4.0,4.0,45.47727272727273,430.19314214463844,1.0
20,1,1,10,1,2,5,210380.69,772.0,39,22,4.0,3.6666666666666665,48.583333333333336,272.5138471502591,1.0
21,1,1,2,1,1,1,42231.5,45.0,114,1612,3.0,6.0,62.0,938.4777777777778,1.0
22,1,1,9,1,2,3,134143.28,26.0,211,1562,3.0,4.909090909090909,50.90909090909091,5159.356923076923,1.25
23,1,1,4,1,1,3,20626.420000000002,99.0,330,918,4.0,4.0,58.333333333333336,208.34767676767677,1.2857142857142858
24,1,1,8,1,2,3,418458.36,891.0,975,393,4.0,3.9855072463768115,55.44927536231884,469.65023569023566,2.9583333333333335
25,1,1,12,2,3,6,205837.18,472.0,1193,120,3.9875,3.975,55.825,436.095720338983,1.196969696969697
26,1,1,17,1,1,8,789882.35,3634.0,503,1403,4.0,4.0,47.208955223880594,217.35892955421022,2.0416666666666665
27,1,1,11,2,2,4,836610.79,2009.0,512,890,3.9714285714285715,4.057142857142857,56.05714285714286,416.4314534594326,1.05
28,1,1,2,1,2,2,228983.52,1566.0,248,16,4.0,2.5,59.0,146.22191570881225,1.3333333333333333
29,1,1,8,1,1,6,94188.6,332.0,1318,561,4.0,4.0,46.74285714285714,283.7006024096386,1.0
30,1,1,7,1,1,5,20006.98,40.0,1,1698,4.0,4.0,46.5,500.17449999999997,1.0
31,1,2,14,2,2,4,32880.71,39.0,72,1575,3.357142857142857,4.571428571428571,58.214285714285715,843.0951282051282,1.5
32,1,1,1,1,1,1,30000.0,1.0,1,1142,3.0,4.0,34.0,30000.0,1.0
33,1,1,12,2,2,3,12553.01,19.0,30,16,3.473684210526316,3.210526315789474,44.526315789473685,660.6847368421053,1.5
34,1,1,31,2,3,13,3953891.38,14717.0,1324,16,3.9715302491103204,3.530249110320285,50.11032028469751,268.6615057416593,2.8125
35,1,1,266,3,10,32,31927919.45,98003.0,1893,8,3.8709899965505348,3.925836495343222,49.69851672990686,325.78512341458935,3.4222222222222225
36,1,1,23,1,3,9,3087675.23,12555.0,371,1002,4.0,3.8585858585858586,46.37373737373738,245.93191796097173,1.1818181818181819
37,1,1,3,1,1,1,53181.159999999996,72.0,88,1701,4.0,4.0,54.0,738.6272222222221,1.0
38,1,1,4,1,2,1,10375800.0,13428.0,652,1107,4.0,1.5217391304347827,54.0,772.6988382484361,1.45
39,1,1,4,1,1,3,44080.0,96.0,1,158,4.0,4.0,37.714285714285715,459.1666666666667,1.0
40,1,1,1,1,1,1,27330.72,48.0,1,787,4.0,4.0,54.0,569.39,1.0
41,1,1,7,1,2,2,164471.3,210.0,364,1247,4.0,3.6,51.666666666666664,783.1966666666666,1.0
42,1,1,3,1,2,2,144765.0,188.0,1255,31,4.0,3.7857142857142856,52.75,770.0265957446809,1.0
43,1,1,2,1,1,2,105916.75,149.0,67,92,4.0,4.0,54.38461538461539,710.8506711409397,2.0
44,1,1,24,1,1,7,5478882.07,40888.0,492,51,4.0,4.0,51.31382978723404,133.9973114361182,3.0833333333333335
45,1,1,15,1,2,11,278430.89,2161.0,81,1740,4.0,3.5918367346938775,45.755102040816325,128.84354002776493,1.6666666666666667
46,1,1,4,1,1,1,937.95,4.0,244,1661,3.0,6.0,62.0,234.4875,1.0
47,1,1,1,1,1,1,62244.0,36.0,89,1739,4.0,1.0,54.0,1729.0,1.0
48,1,1,2,1,1,2,243724.4,2740.0,475,1333,4.0,4.0,58.5,88.9505109489051,1.0
49,1,1,38,2,2,2,50451.770000000004,87.0,189,1690,2.2567567567567566,2.2837837837837838,55.310810810810814,579.9054022988506,1.2
50,1,1,6,1,1,5,114323.98999999999,561.0,1,1892,4.0,4.0,43.5,203.78607843137254,1.0
51,1,1,6,1,1,6,63918.6,237.0,576,204,4.0,4.0,46.84615384615385,269.69873417721516,1.0
52,1,1,28,3,3,8,117992.3,347.0,274,1618,3.2162162162162162,4.243243243243243,56.648648648648646,340.035446685879,1.0
53,1,1,19,1,1,8,2428483.54,17592.0,603,17,4.0,4.0,47.77884615384615,138.04476693951796,2.6875
54,1,1,1,1,1,1,12355.2,90.0,1,987,4.0,4.0,61.0,137.28,1.0
55,1,1,2,1,1,1,98072.0,400.0,114,1589,4.0,4.0,61.0,245.18,1.0
56,1,1,6,2,4,6,324873.95,6.0,1,1624,2.8333333333333335,3.0,32.0,54145.65833333333,1.0
57,1,1,36,3,5,13,3395645.38,10882.0,1604,1,3.764044943820225,4.101123595505618,43.59550561797753,312.04239845616615,1.5
58,1,1,7,1,2,7,978109.15,2936.0,288,18,4.0,3.5789473684210527,42.78947368421053,333.14344346049046,1.1111111111111112
59,1,1,7,1,2,2,169453.52,332.0,58,1394,4.0,3.3333333333333335,54.55555555555556,510.40216867469877,1.0
60,1,1,2,1,1,1,21532.800000000003,48.0,1,1227,4.0,4.0,54.0,448.6000000000001,1.0
61,1,1,181,1,1,1,2033275.04,3571.0,768,1130,3.0,6.0,62.0,569.3853374404929,1.0454545454545454
62,1,1,6,1,1,2,1789614.4,7086.0,1113,743,4.0,4.0,39.54347826086956,252.5563646627152,1.125
