ds,y
2018-01-09,1757235.49
2018-01-10,2210403.85
2018-01-11,2404274.75
2018-01-12,2066863.32
2018-01-13,0.0
2018-01-14,0.0
2018-01-15,3860412.63
2018-01-16,1905322.85
2018-01-17,3396522.35
2018-01-18,3695514.87
2018-01-19,2645475.66
2018-01-20,0.0
2018-01-21,0.0
2018-01-22,2692123.61
2018-01-23,2710349.45
2018-01-24,1282370.25
2018-01-25,3478413.77
2018-01-26,2231803.5100000002
2018-01-27,0.0
2018-01-28,0.0
2018-01-29,1633025.64
2018-01-30,2029036.47
2018-01-31,2426225.44
2018-02-01,2105345.85
2018-02-02,1168578.02
2018-02-03,0.0
2018-02-04,0.0
2018-02-05,2841346.34
2018-02-06,1675505.2
2018-02-07,924637.71
2018-02-08,4038215.27
2018-02-09,2323927.37
2018-02-10,0.0
2018-02-11,0.0
2018-02-12,1889169.21
2018-02-13,2945065.52
2018-02-14,2417207.55
2018-02-15,2391408.87
2018-02-16,1598300.5999999999
2018-02-17,0.0
2018-02-18,0.0
2018-02-19,5990262.87
2018-02-20,1193417.59
2018-02-21,2383941.09
2018-02-22,3183186.2600000002
2018-02-23,0.0
2018-02-24,0.0
2018-02-25,0.0
2018-02-26,2616311.77
2018-02-27,2206218.18
2018-02-28,5319639.82
2018-03-01,2351351.21
2018-03-02,1391738.74
2018-03-03,0.0
2018-03-04,0.0
2018-03-05,3528662.89
2018-03-06,2837615.93
2018-03-07,1473110.77
2018-03-08,0.0
2018-03-09,0.0
2018-03-10,0.0
2018-03-11,0.0
2018-03-12,3015619.29
2018-03-13,2237599.14
2018-03-14,3065838.36
2018-03-15,2936342.61
2018-03-16,1865308.43
2018-03-17,0.0
2018-03-18,0.0
2018-03-19,2743557.27
2018-03-20,2151155.21
2018-03-21,2830130.17
2018-03-22,2498936.24
2018-03-23,3685267.06
2018-03-24,0.0
2018-03-25,0.0
2018-03-26,1838904.2
2018-03-27,4107521.7600000002
2018-03-28,3270461.17
2018-03-29,1801767.53
2018-03-30,1443158.73
2018-03-31,0.0
2018-04-01,0.0
2018-04-02,2084779.07
2018-04-03,2208518.38
2018-04-04,3990723.41
2018-04-05,2800008.39
2018-04-06,2792541.65
2018-04-07,0.0
2018-04-08,0.0
2018-04-09,3043468.81
2018-04-10,2097526.02
2018-04-11,3611171.17
2018-04-12,1982195.21
2018-04-13,1017708.28
2018-04-14,0.0
2018-04-15,0.0
2018-04-16,2878157.93
2018-04-17,4556649.14
2018-04-18,1610637.46
2018-04-19,3846956.42
2018-04-20,1687073.74
2018-04-21,0.0
2018-04-22,0.0
2018-04-23,2904905.59
2018-04-24,2589065.47
2018-04-25,5173371.29
2018-04-26,3040995.41
2018-04-27,2934576.69
2018-04-28,1340436.47
2018-04-29,0.0
2018-04-30,0.0
2018-05-01,0.0
2018-05-02,0.0
2018-05-03,2278723.52
2018-05-04,2744427.71
2018-05-05,0.0
2018-05-06,0.0
2018-05-07,2358980.91
2018-05-08,1510480.31
2018-05-09,0.0
2018-05-10,3259133.49
2018-05-11,1845876.14
2018-05-12,0.0
2018-05-13,0.0
2018-05-14,3550373.56
2018-05-15,1814651.22
2018-05-16,2118089.02
2018-05-17,2061816.44
2018-05-18,2257101.27
2018-05-19,0.0
2018-05-20,0.0
2018-05-21,3284612.71
2018-05-22,1282497.96
2018-05-23,2802637.0100000002
2018-05-24,2038938.32
2018-05-25,1331616.36
2018-05-26,0.0
2018-05-27,0.0
2018-05-28,1549521.71
2018-05-29,2995701.43
2018-05-30,2008351.8
2018-05-31,2569646.98
2018-06-01,1776802.08
2018-06-02,0.0
2018-06-03,0.0
2018-06-04,3039415.2
2018-06-05,1585392.9
2018-06-06,1559509.65
2018-06-07,2521724.94
2018-06-08,3265459.99
2018-06-09,523403.09
2018-06-10,0.0
2018-06-11,0.0
2018-06-12,0.0
2018-06-13,3501975.54
2018-06-14,6654962.66
2018-06-15,1668963.45
2018-06-16,0.0
2018-06-17,0.0
2018-06-18,2589282.44
2018-06-19,1925428.93
2018-06-20,1911823.6300000001
2018-06-21,2507779.02
2018-06-22,2144713.3
2018-06-23,0.0
2018-06-24,0.0
2018-06-25,1091841.3
2018-06-26,1095556.43
2018-06-27,1798822.22
2018-06-28,2874577.91
2018-06-29,644236.07
2018-06-30,0.0
2018-07-01,0.0
2018-07-02,2179043.01
2018-07-03,1679292.76
2018-07-04,1955378.3499999999
2018-07-05,1830134.1300000001
2018-07-06,1279912.23
2018-07-07,0.0
2018-07-08,0.0
2018-07-09,1652459.36
2018-07-10,3074089.48
2018-07-11,2034700.54
2018-07-12,2306815.9
2018-07-13,1123531.61
2018-07-14,0.0
2018-07-15,0.0
2018-07-16,2602095.94
2018-07-17,1290797.83
2018-07-18,2584992.74
2018-07-19,2199653.21
2018-07-20,1802291.75
2018-07-21,0.0
2018-07-22,0.0
2018-07-23,1238866.95
2018-07-24,1140435.68
2018-07-25,1783846.07
2018-07-26,3332462.99
2018-07-27,1894735.24
2018-07-28,0.0
2018-07-29,0.0
2018-07-30,3416765.35
2018-07-31,1610148.81
2018-08-01,2857334.54
2018-08-02,801817.0
2018-08-03,1072467.45
2018-08-04,0.0
2018-08-05,0.0
2018-08-06,1464405.92
2018-08-07,2201644.38
2018-08-08,2371699.95
2018-08-09,4378432.47
2018-08-10,2746880.26
2018-08-11,0.0
2018-08-12,0.0
2018-08-13,3443755.69
2018-08-14,1655478.8199999998
2018-08-15,3195570.98
